,belongs_to_collection,genres,id,overview,popularity,production_companies,status,tagline,title,vote_average,vote_count,director
13381,,"Drama, Thriller",13825,"After Ben Garvey foolishly turned back to crime, he thought his life was over when he was sentenced to death by lethal injection. But his death sentence isn't quite what it seems, as Ben regains consciousness near an eerie psychiatric ward, where he's told he's been hired as the groundskeeper. With the state of his soul in question, and the love for his wife and daughter all the more real and powerful, Ben must figure out if he's truly cheated death, or if he's become part of something far more sinister.",11.387338,"[{'name': 'Be Good Productions', 'id': 2823}, {'name': 'Scion Films', 'id': 7419}, {'name': 'Mandeville Films', 'id': 10227}, {'name': 'Inferno Distribution', 'id': 11278}]",Released,Cheating death is only the beginning,The Lazarus Project,6.0,116.0,['John Glenn']
12256,,"Drama, Horror, Action, Thriller, Science Fiction",6479,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",11.379355,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Original Film', 'id': 333}, {'name': 'Weed Road Pictures', 'id': 433}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}, {'name': 'Overbrook Entertainment', 'id': 12485}]",Released,The last man on Earth is not alone,I Am Legend,6.9,4977.0,['Francis Lawrence']
33369,,"Adventure, Animation, Fantasy",309809,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",11.376954,"[{'name': 'Onyx Films', 'id': 2203}, {'name': 'NetFlix', 'id': 8858}, {'name': 'Orange Studios', 'id': 15433}, {'name': 'CityMation', 'id': 41042}, {'name': 'On Entertainment', 'id': 59725}, {'name': 'Zippcast Films', 'id': 60658}]",Released,Growing up isn't the problem... forgetting is.,The Little Prince,7.6,771.0,['Mark Osborne']
24348,,Drama,43922,"A book-smart teenager joins his school's wrestling team as a way to reunite his surviving family members, who split apart after the death of his father, a college wrestling legend, 10 years ago.",11.374555,"[{'name': 'Samuel Goldwyn Films', 'id': 9118}, {'name': 'WWE Studios', 'id': 10339}]",Released,Some Legends are born out of Struggle.,Legendary,6.7,28.0,['Mel Damski']
39247,,"Action, Comedy",302699,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",11.374041,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Bluegrass Films', 'id': 13778}, {'name': 'Principato-Young Entertainment', 'id': 37845}]",Released,Saving the world takes a little Hart and a big Johnson,Central Intelligence,6.2,1699.0,['Rawson Marshall Thurber']
6758,,"Drama, Romance",28200,Story of the relationship between the poets Ted Hughes and Sylvia Plath.,11.37237,"[{'name': 'Focus Films', 'id': 1268}]",Released,Life was too small to contain her...,Sylvia,5.6,34.0,['Christine Jeffs']
32583,Arthur and the Invisibles Collection,"Animation, Adventure, Fantasy, Family",42949,"Maltazard, the Evil M, is now 7 feet tall and evolving among the humans, causing terror wherever he goes. His goal is simple: forming an army of giant henchmen and ruling over the universe. Meanwhile, Arthur is still a Minimoy, and thus in a state where he's unable to fend him off. With the help of Selenia and Betameche, he hatches a plan to regain his usual size: all they must do is infiltrate Arthur's house through the pipeworks, catch an electric train from his bedroom to his grandfather's study and find an elixir that will make him grow back to his human size. Sounds simple enough, if it weren't for Darkos, Maltazard's own son, hot on their tails.",11.371222,"[{'name': 'Apipoulaï', 'id': 1076}, {'name': 'Avalanche Productions', 'id': 2525}, {'name': 'EuropaCorp', 'id': 6896}]",Released,The Final...,Arthur 3: The War of the Two Worlds,5.4,371.0,['Luc Besson']
1919,,Drama,11051,"Jesus, a humble Judean carpenter beginning to see that he is the son of God, is drawn into revolutionary action against the Roman occupiers by Judas -- despite his protestations that love, not violence, is the path to salvation. The burden of being the savior of mankind torments Jesus throughout his life, leading him to doubt. As he is put to death on the cross, Jesus is tempted by visions of an ordinary life married to Mary Magdalene.",11.370288,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Cineplex-Odeon Films', 'id': 5231}]",Released,,The Last Temptation of Christ,7.0,206.0,['Martin Scorsese']
11502,,"Drama, Romance",14202,"A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife.",11.370183,"[{'name': 'Emotion Pictures', 'id': 741}, {'name': 'The Mark Gordon Company', 'id': 1557}, {'name': 'Class 5 Films', 'id': 2297}, {'name': 'Yari Film Group', 'id': 2448}, {'name': 'Warner China Film HG Corporation', 'id': 7999}, {'name': 'Stratus Film Co.', 'id': 11027}, {'name': 'WIP', 'id': 12259}, {'name': 'Bob Yari Productions', 'id': 12260}, {'name': 'The Colleton Company', 'id': 12261}, {'name': 'Dragon Studios', 'id': 12262}]",Released,Sometimes the greatest journey is the distance between two people.,The Painted Veil,7.1,319.0,['John Curran']
32232,,"Comedy, Drama",296313,"Men &amp; Chicken is a black comedy about two outcast brothers, who by getting to know their unknown family also discover a horrible truth about themselves and their relatives.",11.369559,"[{'name': 'Det Danske Filminstitut', 'id': 118}, {'name': 'Danmarks Radio (DR)', 'id': 119}, {'name': 'M&M Productions', 'id': 1789}, {'name': 'Film Fyn', 'id': 8281}, {'name': 'DCM Productions', 'id': 14758}, {'name': 'Film i Väst', 'id': 17513}]",Released,You don't choose your own family,Men & Chicken,6.6,57.0,['Anders Thomas Jensen']
5828,Star Trek: The Next Generation Collection,"Science Fiction, Action, Adventure, Thriller",201,"En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself.",11.367801,"[{'name': 'Paramount Pictures', 'id': 4}]",Released,A generation's final journey... begins.,Star Trek: Nemesis,6.1,488.0,['Stuart Baird']
11807,,"Crime, Drama, Action, Thriller",18767,Someone in a prison run by a corrupt warden fakes the deaths of convicts to later use them as expendable assassins. A police officer is sent into the prison to gather evidence of the corruption.,11.366852,[],Released,When you're looking for the living dead you start your search in hell!,Island of Fire,5.9,26.0,['Chu Yen-ping']
1525,,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",10336,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons (Michael Jai White) makes a pact with the devil to be resurrected to see his beloved wife Wanda (Theresa Randle). In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",11.366417,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Pull Down Your Pants Pictures', 'id': 3907}, {'name': 'Todd McFarlane Entertainment', 'id': 23364}]",Released,Born in darkness. Sworn to justice.,Spawn,5.0,344.0,['Mark A.Z. Dippé']
25056,,"Action, Adventure",140818,"Archaeologist Sigurd Svendsen discovers that the Oseberg ship hides a secret from the Viking Age. Along with his two children put Sigurd out on a quest to find the truth. The mystery leads them into ""No Man's Land"" between Norway and Russia where no man traveling in modern times. Old runes take on new meaning when the secret they uncover is more frightening than anyone could have imagined.",11.365247,"[{'name': 'Fantefilm', 'id': 3079}, {'name': 'Film i Väst', 'id': 17513}, {'name': 'Ghost VFX', 'id': 25713}]",Released,All myths have an origin,Ragnarok,5.7,59.0,['Mikkel Brænne Sandemose']
3372,The Skulls Collection,"Crime, Drama, Thriller",11478,"Luke's exultance at being selected for The Skulls (a secret society bred within the walls of a prominent Ivy League Campus) is soon overshadowed when he realises that all is 'not well in Wonderland'. For The Skulls is a breeding ground for the future powerful and elite. It's not only a far cry from his working class background, but it also hallows its own deep and dark secrets.",11.363754,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Original Film', 'id': 333}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Cranium Films', 'id': 11482}]",Released,Getting in is easy. Getting out is a killer.,The Skulls,5.7,160.0,['Rob Cohen']
13651,,Comedy,16996,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",11.362762,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Offspring Entertainment', 'id': 2378}]",Released,Who says you're only young once?,17 Again,6.1,1388.0,['Burr Steers']
12599,,"Drama, Comedy",10503,"A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",11.361898,"[{'name': 'Thin Man Films', 'id': 10100}]",Released,,Happy-Go-Lucky,6.4,130.0,['Mike Leigh']
10363,The Transporter Collection,"Action, Thriller, Crime",9335,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.",11.359659,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Current Entertainment', 'id': 972}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'TPS Star', 'id': 6586}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'Sea Side Films Florida Inc.', 'id': 95342}]",Released,The Best In The Business Is Back In The Game.,Transporter 2,6.2,1076.0,['Louis Leterrier']
42375,,Horror,420245,A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,11.359142,"[{'name': 'Red & Black Films', 'id': 21621}, {'name': 'Seymour Films', 'id': 86623}]",Released,Pray she doesn't answer.,Don't Knock Twice,5.3,136.0,['Caradog W. James']
11734,,"Adventure, Animation, Comedy, Family",1273,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.",11.358363,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Imagi Animation Studios', 'id': 3463}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Mirage Studios', 'id': 30900}, {'name': 'Imagi Production', 'id': 70995}]",Released,,TMNT,6.0,349.0,['Kevin Munroe']
12752,,"Action, Comedy, Thriller",11665,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",11.35779,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Mosaic Media Group', 'id': 748}, {'name': 'Mad Chance', 'id': 1757}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'WV Films IV', 'id': 27352}, {'name': ""Mel's Cite du Cinema"", 'id': 54502}, {'name': 'Callahan Filmworks', 'id': 60378}]",Released,Saving The World...And Loving It!,Get Smart,6.0,1072.0,['Peter Segal']
2899,,"Drama, Thriller",9008,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand",11.3569,"[{'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Kaitz Productions', 'id': 8758}, {'name': 'Mann/Roth Productions', 'id': 8759}, {'name': 'Touchstone Pictures', 'id': 9195}]",Released,Two men driven to tell the truth... whatever the cost.,The Insider,7.3,489.0,['Michael Mann']
11692,,"Action, Adventure, Comedy",11199,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.",11.356011,"[{'name': 'Wild Hogs Productions', 'id': 6354}, {'name': 'Touchstone Pictures', 'id': 9195}]",Released,A lot can happen on the road to nowhere.,Wild Hogs,5.7,666.0,['Walt Becker']
4219,,"Action, Adventure, Drama, War, Romance",5923,"Engineer Jake Holman arrives aboard the gunboat U.S.S. San Pablo, assigned to patrol a tributary of the Yangtze in the middle of exploited and revolution-torn 1926 China. His iconoclasm and cynical nature soon clash with the ""rice-bowl"" system which runs the ship and the uneasy symbiosis between Chinese and foreigner on the river. Hostility towards the gunboat's presence reaches a climax when the boat must crash through a river-boom and rescue missionaries upriver at China Light Mission.",11.354247,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Solar Productions', 'id': 599}, {'name': 'Robert Wise Productions', 'id': 6304}]",Released,This is the heroic story of the men on the U.S.S. San Pablo who disturbed the sleeping dragon of savage China as the threatened world watched in breathless terror.,The Sand Pebbles,7.2,59.0,['Robert Wise']
1970,,"Comedy, Drama",20348,"Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise.",11.350645,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}]",Released,,Fandango,6.6,39.0,['Kevin Reynolds']
31437,Dragon Ball Z (Movie) Collection,"Action, Adventure, Animation, Fantasy",303857,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",11.350372,"[{'name': 'Toei Animation', 'id': 5542}, {'name': 'Twentieth Century Fox', 'id': 7392}]",Released,,Dragon Ball Z: Resurrection 'F',6.8,377.0,['Tadayoshi Yamamuro']
20089,,"Comedy, Mystery",83186,"Dolph Springer wakes up one morning to realize he has lost the love of his life, his dog, Paul. During his quest to get Paul (and his life) back, Dolph radically changes the lives of others -- risking his sanity all the while.",11.349635,"[{'name': 'Realitism', 'id': 6929}]",Released,,Wrong,6.0,105.0,['Quentin Dupieux']
1903,Zorro Collection,"Action, Adventure",9342,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",11.348096,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'TriStar Pictures', 'id': 559}]",Released,No one has seen his face... but everyone ... knows this mark.,The Mask of Zorro,6.3,1211.0,['Martin Campbell']
5034,,"Action, History, War",10590,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,11.34706,"[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'Wheelhouse Entertainment', 'id': 53005}, {'name': 'Motion Picture Production GmbH & Co. Erste KG', 'id': 53006}]",Released,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.,We Were Soldiers,6.7,531.0,['Randall Wallace']
4894,,"Drama, History, Romance, War",12660,"This is a drama set in Nazi-occupied France at the height of World War II. Charlotte Gray tells the compelling story of a young Scottish woman working with the French Resistance in the hope of rescuing her lover, a missing RAF pilot. Based on the best-selling novel by Sebastian Faulks.",11.34469,"[{'name': 'Senator Film Produktion', 'id': 191}, {'name': 'Ecosse Films', 'id': 1267}, {'name': 'Film4', 'id': 9349}, {'name': 'Pod Films', 'id': 52843}]",Released,The story of an ordinary woman in an extraordinary time.,Charlotte Gray,6.1,31.0,['Gillian Armstrong']
20726,,"Action, Adventure, Romance, Science Fiction, Thriller",72710,"A parasitic alien soul is injected into the body of Melanie Stryder. Instead of carrying out her race's mission of taking over the Earth, ""Wanda"" (as she comes to be called) forms a bond with her host and sets out to aid other free humans.",11.342024,"[{'name': 'Nick Wechsler Productions', 'id': 8073}, {'name': 'Open Road Films', 'id': 10427}, {'name': 'Silver Reel', 'id': 12075}, {'name': 'Chockstone Pictures', 'id': 13649}]",Released,You will be one of us,The Host,6.0,1859.0,['Andrew Niccol']
1591,,"Action, Comedy",10890,"John Winger, an indolent sad sack in his 30s, impulsively joins the U.S. Army after losing his job, his girlfriend and his apartment.",11.341505,"[{'name': 'Columbia Pictures Industries', 'id': 5848}]",Released,The story of a man who wanted to keep the world safe for democracy...and meet girls.,Stripes,6.5,253.0,['Ivan Reitman']
745,,"Drama, Thriller, Crime",9879,"Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder.",11.341502,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]",Released,Some People Get Into Trouble No Matter What They WEAR.,Striptease,4.4,210.0,['Andrew Bergman']
17419,,"Comedy, Romance, Family",38317,"A comedy about a zookeeper who might be great with animals, but he doesn't know anything about the birds and the bees. The man can't find love, so he decides to quit his job at the zoo, but his animal friends try to stop him and teach him that Mother Nature knows best when it comes to love.",11.341084,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Sony Pictures Releasing', 'id': 3045}, {'name': 'Broken Road Productions', 'id': 8000}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Zookeeper Productions', 'id': 46221}, {'name': 'Hey Eddie', 'id': 46222}]",Released,Welcome to his jungle.,Zookeeper,5.3,509.0,['Frank Coraci']
548,,"Action, Adventure, Drama, History, Western",11969,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",11.338194,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",Released,Justice is coming.,Tombstone,7.4,632.0,['George P. Cosmatos']
3808,,"Comedy, Drama",469,"Rootless Hungarian émigré Willie, his pal Eddie, and visiting sixteen-year-old cousin Eva always manage to make the least of any situation, whether aimlessly traversing the drab interiors and environs of New York City, Cleveland, or an anonymous Florida suburb.",11.33706,[],Released,,Stranger Than Paradise,7.4,112.0,['Jim Jarmusch']
1524,,"Horror, Science Fiction, Mystery",8413,"In the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship ""Event Horizon"". The ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the ""Lewis and Clark"" discover the real truth behind its disappearance and something even more terrifying.",11.335072,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Impact Pictures', 'id': 248}, {'name': 'Golar Productions', 'id': 2484}]",Released,Infinite Space - Infinite Terror,Event Horizon,6.4,752.0,['Paul W.S. Anderson']
1900,The Gremlins Collection,"Fantasy, Horror, Comedy",927,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",11.333125,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}]",Released,"Don't get him wet, keep him out of bright light, and never feed him after midnight.",Gremlins,6.9,1629.0,['Joe Dante']
16942,,Documentary,58496,"Senna's remarkable story, charting his physical and spiritual achievments on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.",11.331859,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Midfield Films', 'id': 3080}, {'name': 'Working Title Films', 'id': 10163}]",Released,The legend of the greatest driver who ever lived.,Senna,8.1,282.0,['Asif Kapadia']
5888,,"Comedy, Crime, Drama, Romance, Thriller",4912,"Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.",11.331072,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Allied Filmmakers', 'id': 1755}, {'name': 'Mad Chance', 'id': 1757}]",Released,Some things are better left top secret.,Confessions of a Dangerous Mind,6.6,281.0,['George Clooney']
5887,,"Comedy, Crime, Drama, Romance, Thriller",4912,"Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.",11.331072,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Allied Filmmakers', 'id': 1755}, {'name': 'Mad Chance', 'id': 1757}]",Released,Some things are better left top secret.,Confessions of a Dangerous Mind,6.6,281.0,['George Clooney']
31005,National Lampoon's Vacation Collection,Comedy,296099,"Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, a grown up Rusty Griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in America, Walley World. Needless to say, things don't go quite as planned.",11.33038,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'BenderSpink', 'id': 6363}, {'name': 'David Dobkin Productions', 'id': 53060}]",Released,What could go wrong?,Vacation,6.1,1218.0,"['John Francis Daley', 'Jonathan M. Goldstein']"
12403,,"Action, Thriller, Horror, Science Fiction",13059,"A horror film told in three parts, from three perspectives, in which a mysterious transmission that turns people into killers invades every cell phone, radio, and television.",11.329733,[],Released,This is not a test.,The Signal,5.9,85.0,"['David Bruckner', 'Dan Bush', 'Jacob Gentry']"
13771,,Drama,17332,"A Los Angeles journalist befriends a homeless Juilliard-trained musician, while looking for a new article for the paper.",11.328316,"[{'name': 'DreamWorks', 'id': 7}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Krasnoff Foster Productions', 'id': 8299}, {'name': 'Working Title Films', 'id': 10163}]",Released,Life has a mind of its own,The Soloist,6.6,237.0,['Joe Wright']
1987,The Rescuers Collection,"Fantasy, Family, Animation, Adventure",11319,"What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run International Rescue Aid Society, Bernard and Miss Bianca respond to orphan Penny's call for help. The two mice search for clues with the help of an old cat named Rufus.",11.32442,"[{'name': 'Walt Disney Productions', 'id': 3166}]",Released,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!,The Rescuers,6.7,609.0,"['John Lounsbery', 'Wolfgang Reitherman', 'Art Stevens']"
13269,,"Animation, Drama, Romance",38142,"Takaki and Akari are two classmates in elementary school. During their time together they have become close friends. Their relationship is tested when Akari moves to another city because of her parents' jobs. Both of them struggle to keep their friendship alive, as time and distance slowly pulls them apart. When Takaki finds out that he is moving further away, he decides to visit Akari one last time.",11.324028,"[{'name': 'CoMix Wave', 'id': 3756}]",Released,A chain of short stories about their distance,5 Centimeters per Second,7.3,403.0,['Makoto Shinkai']
44908,,"Adventure, Fantasy, History",2286,"Dolf a 15 year old boy is sent back in time by a timemachine. Accidentally he is sent back to the Middle Ages. He is rescued by children who are part of a childrens' crusade, on their way to rescue Jeruzalem. During the trip Dolf finds out the danger is not coming from outside the crusade, but from within.",11.322545,"[{'name': 'Kasander Film Company', 'id': 1049}]",Released,,Crusade in Jeans,6.0,15.0,['Ben Sombogaart']
23390,,"TV Movie, Drama, History",36465,"Continuing the storyline of The Gathering Storm, Churchill at War is a look at the former British prime minister's life and career at the end of WWII.",11.322269,[],Released,,Into the Storm,5.9,20.0,"[""Thaddeus O'Sullivan""]"
8617,,"Drama, War, History",17295,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,11.322173,"[{'name': 'Igor Film', 'id': 3280}, {'name': 'Casbah Film', 'id': 10207}]",Released,The Revolt that Stirred the World!,The Battle of Algiers,7.8,167.0,['Gillo Pontecorvo']
23911,,Drama,265169,"Aydin, a retired actor, owns a small hotel in central Anatolia with his young wife Nihal and his sister Necla, who is coping with her recent divorce. During the winter, snow covers the ground and boredom brings the return of old memories, pushing Aydin to flee…",11.32208,"[{'name': 'Memento Films Production', 'id': 5162}, {'name': 'Bredok Filmproduction', 'id': 16903}, {'name': 'Zeynofilm', 'id': 27100}]",Released,,Winter Sleep,7.6,132.0,['Nuri Bilge Ceylan']
12606,,"Comedy, Documentary",14236,"Determined to find out the true effects of marijuana on the human body, stand-up comedian and former Stoner of the Year Doug Benson documents his experience avoiding pot for 30 days and then consuming massive amounts of the drug for 30 days. More than just an amusing story of one man's quest to get superhigh, this documentary also examines the hotly contested debate over medical marijuana use.",11.320193,[],Released,,Super High Me,5.9,71.0,['Michael Blieden']
4822,,"Action, Science Fiction",8738,"In 1980, the US Navy's most powerful warship, the USS Nimitz, is caught in a storm during routine manoeuvres in the Pacific. Enveloped by a strange green light, the ship passes through a vortex and when they emerge, their communications have been cut off. The ship's Captain (Kirk Douglas) sends out a patrol and the F-14 pilots are shocked to encounter vintage Japanese warplanes.",11.319726,"[{'name': 'The Bryna Company', 'id': 11116}]",Released,"Trapped outside the boundaries of time and space... 102 aircraft... 6,000 men... all missing.",The Final Countdown,6.1,120.0,['Don Taylor']
22189,,"Drama, History",192136,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,11.318079,"[{'name': 'Distant Horizons', 'id': 1066}, {'name': 'Film Afrika Worldwide', 'id': 4792}, {'name': 'Videovision Entertainment', 'id': 5031}, {'name': 'Pathe', 'id': 7396}, {'name': 'Origin Pictures', 'id': 8088}]",Released,It is an ideal for which I am prepared to die.,Mandela: Long Walk to Freedom,6.5,225.0,['Justin Chadwick']
7251,,"Family, Fantasy, Comedy",14442,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",11.316988,"[{'name': 'World 2000 Entertainment', 'id': 7692}, {'name': 'Enchanted Productions', 'id': 85437}]",Released,Get enchanted,Ella Enchanted,5.9,454.0,"[""Tommy O'Haver""]"
3246,,"Horror, Mystery, Thriller",622,"An all-expenses-paid international search for a rare copy of the book, 'The Nine Gates of the Shadow Kingdom' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic worship.",11.316349,"[{'name': 'Bac Films', 'id': 208}, {'name': 'Kino Vision', 'id': 353}, {'name': 'Orly Films', 'id': 354}, {'name': 'R.P. Productions', 'id': 355}, {'name': 'Vía Digital', 'id': 357}, {'name': 'Artisan Entertainment', 'id': 2188}, {'name': 'Origen Producciones Cinematograficas S.A.', 'id': 3315}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'Canal+ España', 'id': 9335}]",Released,Every book has a life of its own.,The Ninth Gate,6.3,768.0,['Roman Polanski']
24565,,"Animation, Family",77887,The toys throw Ken and Barbie a Hawaiian vacation in Bonnie's room.,11.315849,"[{'name': 'Pixar Animation Studios', 'id': 3}]",Released,,Hawaiian Vacation,6.9,151.0,['Gary Rydstrom']
18131,,"Drama, Thriller, Crime",74536,A rookie cop is assigned to the 118 Precinct in the same district where he grew up. The Precinct Captain starts receiving letters about two unsolved murders that happened many years ago in the housing projects when the rookie cop was just a kid. These letters bring back bad memories and old secrets that begin to threaten his career and break up his family.,11.314303,"[{'name': 'Millennium Films', 'id': 10254}]",Released,Serve. Protect. Lie.,The Son of No One,4.8,93.0,['Dito Montiel']
